Layout,Accuracy
Flat,0.2
Full Circle,0.4
Flat,0.2
Full Circle,0.0
Flat,0.4
Full Circle,0.2
Flat,0.2
Full Circle,0.0
Flat,0.2
Full Circle,0.0
Flat,0.4
Full Circle,0.4
Flat,0.4
Full Circle,0.4
Flat,0.2
Full Circle,0.0
Flat,0.4
Full Circle,0.6
