Layout,Error
Flat,0
Full Circle,8
Flat,5
Full Circle,1
Flat,5
Full Circle,2
Flat,5
Full Circle,3
Flat,3
Full Circle,2
Flat,4
Full Circle,6
Flat,0
Full Circle,4
Flat,0
Full Circle,3
Flat,4
Full Circle,2
