Layout,Accuracy
Flat,1
NULL,0
Flat,0
NULL,0
Flat,0
NULL,0
Flat,0
NULL,0
Flat,0
NULL,0
Flat,0
NULL,0
Flat,1
NULL,0
Flat,1
NULL,0
Flat,0
NULL,0
