Layout,Accuracy
Flat,0.8
Semi-Circle,0.8
Flat,0.4
Semi-Circle,0.8
Flat,1.0
Semi-Circle,0.4
Flat,1.0
Semi-Circle,1.0
Flat,1.0
Semi-Circle,1.0
Flat,1.0
Semi-Circle,0.8
Flat,1.0
Semi-Circle,0.8
Flat,1.0
Semi-Circle,0.8
Flat,0.6
Semi-Circle,0.4
