Layout,Error
Flat,1
Full Circle,1
Flat,3
Full Circle,8
Flat,0
Full Circle,11
Flat,0
Full Circle,0
Flat,0
Full Circle,0
Flat,0
Full Circle,1
Flat,0
Full Circle,1
Flat,0
Full Circle,1
Flat,3
Full Circle,4
