Layout,Error
Full Circle,6
Flat,3
Full Circle,8
Flat,0
Full Circle,6
Flat,4
Full Circle,7
Flat,3
Full Circle,8
Flat,2
Full Circle,0
Flat,0
Full Circle,0
Flat,5
Full Circle,6
Flat,0
Full Circle,3
Flat,0
