ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
11,3,1,Flat,5,3,0.0138226,1.211034,2.177267,9.296573,9.49668,4.242873,6.04252,8.574414,11.70625,15.39359
11,4,2,Full Circle,5,1,1.066539,3.909819,7.008506,8.185643,10.07365,2.899827,4.942764,7.719149,9.05192,11.91791
11,5,3,Flat,5,1,0.0143764,1.476756,1.487954,8.751352,10.495,5.33072,6.830545,9.956902,11.93884,13.21586
11,6,4,Full Circle,5,0,0.9442644,1.799612,3.776847,4.653971,7.441577,5.486937,6.875186,8.552096,12.6059,14.09409
11,7,5,Flat,5,3,1.188771,1.399682,7.574894,7.83027,10.9617,4.498193,6.020301,8.963122,11.01783,12.81687
11,8,6,Full Circle,5,1,0.6588247,1.87908,5.667287,5.856328,10.23189,3.001968,4.845405,6.667032,8.432885,11.15362
11,9,7,Flat,5,2,1.180766,1.180766,7.466583,9.520625,9.643452,4.7012,5.944284,8.430831,10.96513,11.82841
11,10,8,Full Circle,5,4,0.0153046,2.80166,5.178111,8.699102,14.27243,2.090834,3.867704,6.211212,10.1204,15.19616
11,11,9,Flat,5,3,0.0154615,0.9221303,5.05719,9.277657,9.399787,2.514035,3.835922,7.333935,11.69878,12.56496
11,12,10,Full Circle,5,1,0.7554321,1.188476,2.166151,6.953015,9.029656,3.132431,4.520477,6.431107,7.808305,10.0624
11,13,11,Flat,5,3,0.7989992,1.222314,7.874959,8.208279,10.45146,3.518678,6.034954,9.607889,11.99524,13.70542
11,14,12,Full Circle,5,0,1.300139,4.076543,5.953301,7.852629,9.918363,2.754868,5.126885,7.05298,8.984091,11.19555
11,15,13,Flat,5,1,1.022377,1.144636,6.764323,7.042024,7.0974,4.276212,5.697988,9.05133,12.71692,13.88314
11,16,14,Full Circle,5,4,0.0145884,4.275531,7.518974,9.260469,11.20591,2.698574,5.741406,8.629416,10.29519,12.41634
11,17,15,Flat,5,3,0.0229273,0.7116456,1.211199,8.952398,9.129863,4.165229,7.652754,10.19619,13.23904,14.83881
11,18,16,Full Circle,5,3,0.6111747,3.099053,4.759894,6.497667,6.818645,0.1892586,2.099603,4.276293,5.838206,9.152034
11,19,17,Flat,5,2,0.7225203,0.788952,1.688666,1.799742,8.919303,5.393204,7.475015,9.185526,10.4818,12.45051
11,20,18,Full Circle,5,4,1.288513,4.032156,4.265307,7.652563,7.730208,2.388339,4.909434,6.730422,8.818079,9.751523
