Layout,Error
Full Circle,10
Flat,4
Full Circle,3
Flat,5
Full Circle,0
Flat,4
Full Circle,1
Flat,4
Full Circle,0
Flat,0
Full Circle,3
Flat,0
Full Circle,0
Flat,4
Full Circle,2
Flat,4
Full Circle,0
Flat,4
