Layout,Accuracy
Flat,1.0
Full Circle,0.8
Flat,1.0
Full Circle,0.6
Flat,1.0
Full Circle,1.0
Flat,1.0
Full Circle,0.6
Flat,0.8
Full Circle,0.4
Flat,1.0
Full Circle,0.6
Flat,1.0
Full Circle,1.0
Flat,1.0
Full Circle,1.0
Flat,1.0
Full Circle,1.0
