Layout,Error
Flat,2
Full Circle,9
Flat,4
Full Circle,3
Flat,2
Full Circle,7
Flat,0
Full Circle,9
Flat,0
Full Circle,0
Flat,0
Full Circle,0
Flat,3
Full Circle,0
Flat,0
Full Circle,0
Flat,2
Full Circle,0
