TimeSinceStart,UserHeight,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z,MainPadPressed,MainTriggerPressed
40.05333,1,1,Training,0,0,Flat,5,showPattern,-0.06114744,0.6352482,-0.03967502,326.0893,0.4674331,353.5777,-2.000788,0.8571709,-3.71636,348.2335,335.2904,350.5504,False,False
40.06445,1,1,Training,0,0,Flat,5,showPattern,-0.06111603,0.6353602,-0.03952673,326.0959,0.4698692,353.5819,-2.000772,0.8572757,-3.7161,348.2362,335.2769,350.5624,False,False
40.07556,1,1,Training,0,0,Flat,5,showPattern,-0.06113799,0.6353008,-0.03957682,326.088,0.4733201,353.5877,-2.000776,0.857299,-3.716068,348.2432,335.2701,350.5634,False,False
40.08667,1,1,Training,0,0,Flat,5,showPattern,-0.06110988,0.6353498,-0.03955638,326.0883,0.4668465,353.584,-2.001049,0.8571788,-3.716524,348.2314,335.2696,350.5854,False,False
40.09778,1,1,Training,0,0,Flat,5,showPattern,-0.06115533,0.6352819,-0.03965452,326.0845,0.4675482,353.5827,-2.000975,0.8572193,-3.716993,348.2222,335.2714,350.5938,False,False
40.10889,1,1,Training,0,0,Flat,5,showPattern,-0.06112573,0.6353275,-0.03963932,326.0832,0.4607828,353.5908,-2.001014,0.857319,-3.716967,348.2214,335.2797,350.5995,False,False
40.12,1,1,Training,0,0,Flat,5,showPattern,-0.06109937,0.6352572,-0.03974393,326.0837,0.4667728,353.5875,-2.001193,0.857357,-3.716597,348.2437,335.2654,350.634,False,False
40.13111,1,1,Training,0,0,Flat,5,showPattern,-0.06110449,0.6353103,-0.03969928,326.0889,0.4661621,353.5815,-2.00104,0.8574749,-3.716503,348.2398,335.2637,350.641,False,False
40.14222,1,1,Training,0,0,Flat,5,showPattern,-0.06109741,0.635263,-0.03963341,326.0885,0.4676146,353.5709,-2.000882,0.857571,-3.716413,348.2484,335.278,350.6436,False,False
40.15334,1,1,Training,0,0,Flat,5,showPattern,-0.06112974,0.6353175,-0.03962055,326.0869,0.4649973,353.5778,-2.000875,0.8575982,-3.716424,348.2519,335.2707,350.6522,False,False
