Layout,Error
Flat,2
Full Circle,5
Flat,7
Full Circle,3
Flat,0
Full Circle,0
Flat,0
Full Circle,9
Flat,1
Full Circle,6
Flat,0
Full Circle,1
Flat,0
Full Circle,2
Flat,0
Full Circle,0
Flat,0
Full Circle,6
