Layout,Error
Full Circle,3
Flat,0
Full Circle,0
Flat,1
Full Circle,0
Flat,0
Full Circle,0
Flat,2
Full Circle,1
Flat,0
Full Circle,0
Flat,2
Full Circle,0
Flat,0
Full Circle,0
Flat,0
Full Circle,0
Flat,0
