TimeSinceStart,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z
5.719873,1,Training,0,0,Semi-Circle,5,prepare,0.239457,1.661558,-0.1065087,343.05,76.42199,22.80032,0.4036829,0.9912078,-0.0591861,3.723885,22.12404,330.672
5.730984,1,Training,0,0,Semi-Circle,5,prepare,0.2386667,1.668628,-0.09824169,345.2968,77.36045,24.48275,0.4036831,0.9912078,-0.05918615,3.72398,22.12404,330.672
5.742095,1,Training,0,0,Semi-Circle,5,prepare,0.237951,1.671807,-0.09369402,346.6602,78.07101,25.39924,0.4036831,0.9912078,-0.05918615,3.72398,22.12404,330.672
5.753206,1,Training,0,0,Semi-Circle,5,prepare,0.2373507,1.674919,-0.08910951,347.9352,78.75884,26.36703,0.4036828,0.9912079,-0.05918606,3.723884,22.12404,330.672
5.764317,1,Training,0,0,Semi-Circle,5,prepare,0.2376067,1.6772,-0.08446886,349.1859,79.45631,27.38346,0.4036832,0.9912077,-0.05918585,3.723933,22.12404,330.672
5.775428,1,Training,0,0,Semi-Circle,5,prepare,0.2375437,1.679447,-0.07947664,350.3952,80.29294,28.39329,0.4036832,0.9912075,-0.05918612,3.723887,22.12406,330.672
5.786539,1,Training,0,0,Semi-Circle,5,prepare,0.2375445,1.681454,-0.07439199,351.6755,81.17128,29.31217,0.4036829,0.9912077,-0.05918592,3.723932,22.12404,330.672
5.797649,1,Training,0,0,Semi-Circle,5,prepare,0.2382689,1.682986,-0.06976621,352.8821,81.95708,30.2461,0.4036831,0.9912078,-0.05918598,3.723885,22.12406,330.672
5.808761,1,Training,0,0,Semi-Circle,5,prepare,0.2388059,1.68437,-0.06471971,353.9784,82.60236,31.14547,0.4036832,0.9912076,-0.05918609,3.723934,22.12405,330.672
5.819871,1,Training,0,0,Semi-Circle,5,prepare,0.2396921,1.685501,-0.05974934,354.9166,83.02613,31.97928,0.4036832,0.9912072,-0.05918612,3.723889,22.12406,330.672
5.842093,1,Training,0,0,Semi-Circle,5,prepare,0.2413913,1.686129,-0.05507447,355.892,83.44173,32.75632,0.403683,0.9912077,-0.05918596,3.723933,22.12404,330.672
5.853204,1,Training,0,0,Semi-Circle,5,prepare,0.242499,1.686976,-0.05003229,356.8867,83.89819,33.56334,0.403683,0.9912075,-0.0591861,3.723934,22.12405,330.672
5.864315,1,Training,0,0,Semi-Circle,5,prepare,0.2439562,1.687392,-0.04498484,357.8315,84.24937,34.34089,0.4036828,0.9912075,-0.059186,3.723884,22.12404,330.672
5.886537,1,Training,0,0,Semi-Circle,5,prepare,0.2461992,1.687489,-0.04025389,358.7176,84.43405,35.15041,0.403683,0.9912073,-0.05918614,3.723934,22.12405,330.672
5.919869,1,Training,0,0,Semi-Circle,5,prepare,0.2500041,1.686548,-0.03113861,0.0821211,84.28525,36.84557,0.4036831,0.9912075,-0.05918609,3.723932,22.12404,330.672
5.953202,1,Training,0,0,Semi-Circle,5,prepare,0.2596431,1.681846,-0.01578534,2.208652,83.0395,39.50616,0.4036832,0.9912078,-0.05918626,3.723932,22.12405,330.6721
5.997645,1,Training,0,0,Semi-Circle,5,prepare,0.2646349,1.678266,-0.008613905,2.87699,82.0722,40.47704,0.4036829,0.9912077,-0.05918609,3.723932,22.12404,330.672
6.019867,1,Training,0,0,Semi-Circle,5,prepare,0.2780378,1.667,0.005854442,4.892651,78.27277,42.1242,0.4036831,0.9912075,-0.05918605,3.723883,22.12404,330.672
6.042089,1,Training,0,0,Semi-Circle,5,prepare,0.2826504,1.661786,0.01061321,5.290709,76.49969,42.97596,0.4036832,0.9912075,-0.05918629,3.723885,22.12406,330.672
6.053199,1,Training,0,0,Semi-Circle,5,prepare,0.284961,1.658826,0.01286937,5.462838,75.659,43.42101,0.4036829,0.9912075,-0.05918601,3.723929,22.12403,330.672
6.064311,1,Training,0,0,Semi-Circle,5,prepare,0.2888317,1.653478,0.01695802,6.000939,74.11215,44.11659,0.4036829,0.9912074,-0.05918616,3.723885,22.12406,330.672
6.086532,1,Training,0,0,Semi-Circle,5,prepare,0.2907628,1.650174,0.01882438,6.279218,73.37323,44.34067,0.4036829,0.9912079,-0.05918597,3.723883,22.12406,330.6721
6.097643,1,Training,0,0,Semi-Circle,5,prepare,0.2926015,1.646881,0.02076012,6.615052,72.69012,44.56205,0.4036831,0.9912076,-0.05918635,3.723927,22.12404,330.6721
6.108754,1,Training,0,0,Semi-Circle,5,prepare,0.2937083,1.644049,0.02223256,6.877886,72.14901,44.75352,0.4036831,0.9912072,-0.05918644,3.723933,22.12406,330.6721
6.119864,1,Training,0,0,Semi-Circle,5,prepare,0.2952775,1.640443,0.02356928,7.102646,71.63548,44.98051,0.4036832,0.9912076,-0.0591863,3.723927,22.12404,330.6721
6.130976,1,Training,0,0,Semi-Circle,5,prepare,0.2977162,1.633711,0.02570444,7.462948,70.73543,45.51293,0.4036831,0.9912076,-0.0591863,3.723932,22.12406,330.6721
6.142087,1,Training,0,0,Semi-Circle,5,prepare,0.2991022,1.630009,0.0268381,7.716177,70.31536,45.78492,0.4036829,0.9912079,-0.05918615,3.723927,22.12404,330.6721
6.164308,1,Training,0,0,Semi-Circle,5,prepare,0.300222,1.626158,0.02780004,8.030372,70.13177,46.09417,0.4036832,0.9912075,-0.05918624,3.723932,22.12406,330.6721
6.175419,1,Training,0,0,Semi-Circle,5,prepare,0.3008414,1.623032,0.02853573,8.398628,70.00874,46.35621,0.403683,0.9912077,-0.05918627,3.723927,22.12404,330.6721
6.18653,1,Training,0,0,Semi-Circle,5,prepare,0.3017793,1.619247,0.02926267,8.74579,69.88982,46.69431,0.403683,0.9912074,-0.05918609,3.72393,22.12404,330.672
6.208752,1,Training,0,0,Semi-Circle,5,prepare,0.3035726,1.612576,0.03059158,9.393129,69.86971,47.37702,0.403683,0.9912077,-0.0591862,3.72393,22.12404,330.672
6.219862,1,Training,0,0,Semi-Circle,5,prepare,0.3043655,1.608881,0.03107044,9.799906,70.01927,47.59909,0.4036829,0.9912072,-0.05918609,3.723932,22.12405,330.6721
6.230973,1,Training,0,0,Semi-Circle,5,prepare,0.3058484,1.601626,0.03207316,10.59872,70.25196,47.93608,0.403683,0.9912077,-0.05918628,3.723928,22.12405,330.6721
6.253195,1,Training,0,0,Semi-Circle,5,prepare,0.3066292,1.597711,0.03256793,11.05593,70.40164,48.23064,0.403683,0.9912073,-0.05918612,3.723974,22.12403,330.6721
6.264306,1,Training,0,0,Semi-Circle,5,prepare,0.3073799,1.593835,0.03298337,11.61899,70.67754,48.71445,0.4036831,0.9912079,-0.059186,3.723886,22.12406,330.672
6.275417,1,Training,0,0,Semi-Circle,5,prepare,0.3081568,1.590741,0.03350169,12.10637,71.00253,49.26506,0.4036829,0.9912075,-0.05918621,3.723922,22.12402,330.6721
6.286528,1,Training,0,0,Semi-Circle,5,prepare,0.3088814,1.587065,0.03378427,12.54627,71.32583,49.77365,0.4036831,0.9912076,-0.05918611,3.723926,22.12403,330.6721
6.297638,1,Training,0,0,Semi-Circle,5,prepare,0.3095622,1.583351,0.03402121,12.96789,71.57806,50.17329,0.4036829,0.9912074,-0.05918635,3.723883,22.12406,330.6721
6.308749,1,Training,0,0,Semi-Circle,5,prepare,0.3107209,1.576322,0.03486784,13.89377,72.18533,50.6469,0.4036832,0.9912078,-0.05918629,3.723924,22.12403,330.6721
6.330971,1,Training,0,0,Semi-Circle,5,prepare,0.3111653,1.572361,0.03519018,14.40274,72.39632,50.88788,0.403683,0.9912075,-0.05918629,3.723977,22.12404,330.6721
6.342082,1,Training,0,0,Semi-Circle,5,prepare,0.3118359,1.568894,0.03579959,14.97537,72.59956,51.24453,0.403683,0.9912078,-0.05918613,3.723931,22.12405,330.6721
6.353193,1,Training,0,0,Semi-Circle,5,prepare,0.3123262,1.56513,0.03613928,15.49463,72.8587,51.66846,0.4036754,0.9848752,-0.06388114,3.61561,22.50867,331.3123
6.364304,1,Training,0,0,Semi-Circle,5,prepare,0.3128021,1.561578,0.03649402,15.96367,73.18362,52.18033,0.4035822,0.9859462,-0.06393466,3.282943,22.4731,330.72
6.375414,1,Training,0,0,Semi-Circle,5,prepare,0.3135045,1.558559,0.03722686,16.28932,73.53503,52.62327,0.4037739,0.9873593,-0.0633551,3.222971,22.66156,330.7109
6.386526,1,Training,0,0,Semi-Circle,5,prepare,0.314329,1.551678,0.03776636,16.87051,74.12129,53.40775,0.4035627,0.9879827,-0.06344361,3.226362,22.68871,330.7144
6.408747,1,Training,0,0,Semi-Circle,5,prepare,0.3150136,1.548603,0.03843585,17.164,74.38355,53.7371,0.4035133,0.9879795,-0.06351936,3.226361,22.68871,330.7144
6.419858,1,Training,0,0,Semi-Circle,5,prepare,0.3152754,1.545047,0.03877294,17.45556,74.63877,54.07986,0.4043371,0.9874284,-0.06381631,3.228651,22.62978,330.6324
6.430969,1,Training,0,0,Semi-Circle,5,prepare,0.3155659,1.541601,0.03915896,17.78119,74.92133,54.50484,0.4041104,0.9874902,-0.06407288,3.252073,22.61966,330.5981
6.44208,1,Training,0,0,Semi-Circle,5,prepare,0.3162519,1.538666,0.03974484,18.09115,75.2442,55.0273,0.4041172,0.9874723,-0.06422437,3.251393,22.63078,330.5915
