Layout,Error
Flat,8
Full Circle,5
Flat,10
Full Circle,1
Flat,2
Full Circle,5
Flat,2
Full Circle,5
Flat,7
Full Circle,3
Flat,2
Full Circle,0
Flat,2
Full Circle,0
Flat,0
Full Circle,2
Flat,0
Full Circle,1
