Layout,Accuracy
Flat,0.4
Semi-Circle,0.4
Flat,0.2
Semi-Circle,0.8
Flat,0.6
Semi-Circle,0.6
Flat,0.6
Semi-Circle,0.4
Flat,0.6
Semi-Circle,0.6
Flat,0.6
Semi-Circle,1.0
Flat,0.6
Semi-Circle,1.0
Flat,1.0
Semi-Circle,0.6
Flat,1.0
Semi-Circle,0.8
