Layout,Error
Flat,5
Full Circle,9
Flat,6
Full Circle,7
Flat,11
Full Circle,6
Flat,5
Full Circle,3
Flat,0
Full Circle,0
Flat,3
Full Circle,10
Flat,5
Full Circle,7
Flat,0
Full Circle,12
Flat,1
Full Circle,4
