Layout,Error
Full Circle,2
Flat,7
Full Circle,11
Flat,0
Full Circle,5
Flat,3
Full Circle,5
Flat,5
Full Circle,7
Flat,0
Full Circle,4
Flat,8
Full Circle,1
Flat,1
Full Circle,1
Flat,0
Full Circle,0
Flat,4
