Layout,Error
Full Circle,6
Flat,0
Full Circle,0
Flat,1
Full Circle,2
Flat,0
Full Circle,3
Flat,2
Full Circle,4
Flat,2
Full Circle,2
Flat,2
Full Circle,2
Flat,5
Full Circle,0
Flat,0
Full Circle,4
Flat,8
