Layout,Error
Full Circle,2
Flat,2
Full Circle,8
Flat,3
Full Circle,0
Flat,4
Full Circle,2
Flat,7
Full Circle,3
Flat,9
Full Circle,3
Flat,0
Full Circle,3
Flat,1
Full Circle,4
Flat,0
Full Circle,8
Flat,2
