ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
9,3,1,Flat,5,5,0.0133333,0.0133333,0.4385769,0.5718851,10.67822,3.537149,5.036617,8.101788,10.06747,12.27738
9,4,2,NULL,5,3,0.0141448,0.2662111,1.010931,7.052855,7.486136,2.599414,4.476029,6.364181,8.063654,9.729444
9,5,3,Flat,5,2,0.0154613,0.6559369,0.7111987,6.264731,6.475339,3.265501,4.887351,7.841159,13.57216,14.29375
9,6,4,NULL,5,4,0.0142514,0.6302431,0.7190092,7.774772,9.362955,2.565892,3.798696,5.875772,10.69585,11.42855
9,7,5,Flat,5,2,0.0137296,0.0137296,0.6780313,0.8889184,14.38383,3.943084,6.77546,10.89576,13.9361,15.74882
9,8,6,NULL,5,4,0.0136334,0.8334036,0.8999975,7.786045,8.57444,2.732594,4.009693,5.897704,9.162946,10.10697
9,9,7,Flat,5,2,0.0138625,0.3779076,0.4003177,6.128309,6.250725,3.732173,4.809539,8.807749,12.48378,14.03891
9,10,8,NULL,5,2,0.0145138,0.4331063,0.8778671,8.575171,8.763179,2.710378,4.020957,6.630783,10.40681,11.30644
9,11,9,Flat,5,3,0.0162412,0.0162412,0.6611421,5.241968,11.78393,3.842358,9.88501,13.24953,15.03449,15.92591
9,12,10,NULL,5,3,0.0156374,0.0156374,0.8172386,8.574305,9.340687,2.385614,5.282795,7.852804,10.00749,11.71736
9,13,11,Flat,5,2,0.0145387,0.0838505,0.6150068,8.061051,11.99248,3.118745,5.906489,9.871375,13.43634,14.13586
9,14,12,NULL,5,0,0.0137919,0.0137919,1.174846,9.018518,9.418674,2.632524,4.931533,7.375078,10.67365,13.12784
9,15,13,Flat,5,5,0.0137126,0.5334665,0.6890511,10.88448,10.94005,3.798758,6.342021,9.673813,13.17238,14.26061
9,16,14,NULL,5,2,0.0157819,0.5534743,1.085091,9.118731,9.307492,2.830449,5.287081,7.119744,11.12613,12.6726
9,17,15,Flat,5,5,0.0142448,0.0142448,0.6335871,4.709382,14.79407,3.44345,6.508656,10.39596,15.71614,16.61551
9,18,16,NULL,5,2,0.014497,0.466664,0.7511013,10.27371,10.70688,2.710391,5.575764,8.885273,11.90612,13.35
9,19,17,Flat,5,3,0.013789,0.4224806,0.8111976,8.71888,9.063166,3.221242,6.097648,9.196536,11.90347,12.81712
9,20,18,NULL,5,4,0.013472,0.013472,0.944384,8.927261,9.093991,2.354937,4.820509,6.609056,10.88463,12.58365
